name,domain,hq_country,headcount_band,tracks,ats_guess,notes
Zomato,zomato.com,India,5000+,ios_android|swe|ai_engineer,unknown,food delivery and dining app
Swiggy,swiggy.com,India,5000+,ios_android|swe|ai_engineer,unknown,food delivery quick commerce
Zepto,zeptonow.com,India,1000-5000,ios_android|swe,unknown,10 minute grocery delivery
Meesho,meesho.com,India,1000-5000,ios_android|swe|ai_engineer,unknown,social commerce marketplace
Nykaa,nykaa.com,India,1000-5000,ios_android|swe,unknown,beauty and fashion ecommerce
Myntra,myntra.com,India,1000-5000,ios_android|swe|ai_engineer,unknown,fashion ecommerce platform
Flipkart,flipkart.com,India,5000+,ios_android|swe|ai_engineer,unknown,ecommerce marketplace
Urban Company,urbancompany.com,India,1000-5000,ios_android|swe,unknown,home services marketplace
Rapido,rapido.bike,India,1000-5000,ios_android|swe,unknown,bike taxi ride hailing
Ola,olacabs.com,India,5000+,ios_android|swe,unknown,ride hailing and mobility
CRED,cred.club,India,1000-5000,ios_android|swe|ai_engineer,unknown,credit card payments rewards app
Razorpay,razorpay.com,India,1000-5000,swe|ai_engineer,unknown,payments gateway and banking
Zerodha,zerodha.com,India,1000-5000,ios_android|swe,unknown,discount stock broking platform
Groww,groww.in,India,1000-5000,ios_android|swe,unknown,investing and stock broking app
Jupiter,jupiter.money,India,200-1000,ios_android|swe,unknown,neobanking app
slice,sliceit.com,India,200-1000,ios_android|swe,unknown,credit and payments app
Navi,navi.com,India,1000-5000,ios_android|swe|ai_engineer,unknown,lending insurance mutual funds
PhonePe,phonepe.com,India,5000+,ios_android|swe|ai_engineer,unknown,UPI payments super app
Paytm,paytm.com,India,5000+,ios_android|swe,unknown,payments and financial services
Cashfree,cashfree.com,India,200-1000,swe,unknown,payments and payouts API
Setu,setu.co,India,50-200,swe,unknown,embedded finance API infrastructure
Decentro,decentro.tech,India,50-200,swe,unknown,banking API infrastructure
Fi Money,fi.money,India,200-1000,ios_android|swe,unknown,neobanking app for salaried
INDmoney,indmoney.com,India,200-1000,ios_android|swe,unknown,wealth and investment tracking app
Upstox,upstox.com,India,1000-5000,ios_android|swe,unknown,stock broking and investing
Angel One,angelone.in,India,1000-5000,ios_android|swe,unknown,retail broking platform
KreditBee,kreditbee.in,India,1000-5000,ios_android|swe,unknown,personal lending app
Freshworks,freshworks.com,India,5000+,swe|ai_engineer,greenhouse,customer support CRM SaaS
Zoho,zoho.com,India,5000+,swe,custom,business software suite
